participant_id	ses_5_anat	ses_5_func_run_01	ses_5_func_run_02	ses_7_anat	ses_7_func_run_01	ses_7_func_run_02	selection_note
sub-5004	sub-5004_ses-5_acq-D1S2_T1w.nii.gz	sub-5004_ses-5_task-Sem_acq-D1S12_run-01_bold.nii.gz	sub-5004_ses-5_task-Sem_acq-D1S14_run-02_bold.nii.gz	sub-5004_ses-7_acq-D1S2_T1w.nii.gz	sub-5004_ses-7_task-Sem_acq-D2S16_run-01_bold.nii.gz	sub-5004_ses-7_task-Sem_acq-D2S14_run-02_bold.nii.gz	
sub-5008	sub-5008_ses-5_acq-D1S2_T1w.nii.gz	sub-5008_ses-5_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5008_ses-5_task-Sem_acq-D2S3_run-02_bold.nii.gz	sub-5008_ses-7_acq-D1S2_T1w.nii.gz	sub-5008_ses-7_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5008_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5009	sub-5009_ses-5_acq-D1S2_T1w.nii.gz	sub-5009_ses-5_task-Sem_acq-D2S15_run-01_bold.nii.gz	sub-5009_ses-5_task-Sem_acq-D3S11_run-02_bold.nii.gz	sub-5009_ses-7_acq-D1S2_T1w.nii.gz	sub-5009_ses-7_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5009_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5010	sub-5010_ses-5_acq-D1S2_T1w.nii.gz	sub-5010_ses-5_task-Sem_acq-D2S7_run-01_bold.nii.gz	sub-5010_ses-5_task-Sem_acq-D2S9_run-02_bold.nii.gz	sub-5010_ses-7_acq-D2S13_T1w.nii.gz	sub-5010_ses-7_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5010_ses-7_task-Sem_acq-D2S11_run-02_bold.nii.gz	
sub-5015	sub-5015_ses-5_acq-D1S2_T1w.nii.gz	sub-5015_ses-5_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5015_ses-5_task-Sem_acq-D2S3_run-02_bold.nii.gz	sub-5015_ses-7_acq-D1S2_T1w.nii.gz	sub-5015_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5015_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5023	sub-5023_ses-5_acq-D1S2_T1w.nii.gz	sub-5023_ses-5_task-Sem_acq-D2S14_run-01_bold.nii.gz	sub-5023_ses-5_task-Sem_acq-D2S12_run-02_bold.nii.gz	sub-5023_ses-7_acq-D1S2_T1w.nii.gz	sub-5023_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5023_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5024	sub-5024_ses-5_acq-D1S2_T1w.nii.gz	sub-5024_ses-5_task-Sem_acq-D2S19_run-01_bold.nii.gz	sub-5024_ses-5_task-Sem_acq-D2S17_run-02_bold.nii.gz	sub-5024_ses-7_acq-D1S11_T1w.nii.gz	sub-5024_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5024_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5025	sub-5025_ses-5_acq-D1S3_T1w.nii.gz	sub-5025_ses-5_task-Sem_acq-D2S15_run-01_bold.nii.gz	sub-5025_ses-5_task-Sem_acq-D2S17_run-02_bold.nii.gz	sub-5025_ses-7_acq-D1S11_T1w.nii.gz	sub-5025_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5025_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5029	sub-5029_ses-5_acq-D1S2_T1w.nii.gz	sub-5029_ses-5_task-Sem_acq-D2S12_run-01_bold.nii.gz	sub-5029_ses-5_task-Sem_acq-D2S14_run-02_bold.nii.gz	sub-5029_ses-7_acq-D1S2_T1w.nii.gz	sub-5029_ses-7_task-Sem_acq-D1S11_run-01_bold.nii.gz	sub-5029_ses-7_task-Sem_acq-D1S9_run-02_bold.nii.gz	
sub-5034	sub-5034_ses-5_acq-D1S2_T1w.nii.gz	sub-5034_ses-5_task-Sem_acq-D3S17_run-01_bold.nii.gz	sub-5034_ses-5_task-Sem_acq-D2S5_run-02_bold.nii.gz	sub-5034_ses-7_acq-D1S8_T1w.nii.gz	sub-5034_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5034_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5045	sub-5045_ses-5_acq-D1S2_T1w.nii.gz	sub-5045_ses-5_task-Sem_acq-D2S7_run-01_bold.nii.gz	sub-5045_ses-5_task-Sem_acq-D2S5_run-02_bold.nii.gz	sub-5045_ses-7_acq-D1S2_T1w.nii.gz	sub-5045_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5045_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5054	sub-5054_ses-5_acq-D1S2_T1w.nii.gz	sub-5054_ses-5_task-Sem_acq-D2S7_run-01_bold.nii.gz	sub-5054_ses-5_task-Sem_acq-D2S5_run-02_bold.nii.gz	sub-5054_ses-7_acq-D1S2_T1w.nii.gz	sub-5054_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5054_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5055	sub-5055_ses-5_acq-D1S2_T1w.nii.gz	sub-5055_ses-5_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5055_ses-5_task-Sem_acq-D2S7_run-02_bold.nii.gz	sub-5055_ses-7_acq-D1S2_T1w.nii.gz	sub-5055_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5055_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5058	sub-5058_ses-5_acq-D1S15_T1w.nii.gz	sub-5058_ses-5_task-Sem_acq-D2S12_run-01_bold.nii.gz	sub-5058_ses-5_task-Sem_acq-D2S14_run-02_bold.nii.gz	sub-5058_ses-7_acq-D2S2_T1w.nii.gz	sub-5058_ses-7_task-Sem_acq-D1S4_run-01_bold.nii.gz	sub-5058_ses-7_task-Sem_acq-D1S2_run-02_bold.nii.gz	
